,Method,Reg_Type,EPR
0,PIDC,TF,0.9380208992762264
1,PIDC,RBP,1.0981463030578595
2,GRNBOOST2,TF,1.0804880115224942
3,GRNBOOST2,RBP,1.266253160356434
4,SINCERITIES,TF,1.0893239835973043
5,SINCERITIES,RBP,1.14634860898372
6,TENET,TF,1.1394370355330403
7,TENET,RBP,1.687064675046661
8,TENET_A,TF,0.5699277423415352
9,TENET_A,RBP,1.787198648552803
10,TENET_B,TF,1.1317404127767838
11,TENET_B,RBP,1.4517184898947257
12,DeePSEM_CT,TF,1.1834970801100524
13,DeePSEM_CT,RBP,1.4001727770127739
14,ARACNe_FDR,TF,1.1997847951290788
15,ARACNe_FDR,RBP,1.5016882566000154
